Unnamed: 0,productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
102170,CPE12000SG,TLR001061822,6/20/22 1:00,102170,WLTGG-122,1.001E+12,192.168.203.36,3477107,2,-999999,-81.2,-80.4,-81.1,-83.9,19.8,22,21.4,19.4,-9.6,-9.4,-9.2,-9.3,-51,,,,,605
102179,CPE12000SG,TLR001024707,6/20/22 1:00,102179,WLTGG-122,1.001E+12,192.168.203.17,4082445,1,7.4,-106.5,-104,-105.5,-109.3,19.4,21.2,19.4,17,-9.4,-9.3,-9.5,-9.9,-75,,,,,195
102178,CPE12000SG,TLR001061848,6/20/22 1:00,102178,WLTGG-122,1.001E+12,192.168.203.37,3477101,2,-3.8,-84.2,-81.7,-77.7,-78.9,17,19.2,22,19.3,-10.2,-10.1,-10,-10.1,-48,,,,,605
102177,CPE12000SG,TLR001052281,6/20/22 1:00,102177,WLTGG-122,1.001E+12,192.168.203.25,1934903,1,-8.1,-83.4,-81.1,-83.3,-84.7,24.2,22.4,21,23.2,-14,-14.1,-14.3,-13.9,-52,,,,,371
102176,CPE12000SG,TLR001052770,6/20/22 1:00,102176,WLTGG-122,1.001E+12,192.168.203.43,3848447,2,-999999,-107.3,-99.9,-98.7,-101.1,11.3,15.5,16.4,17.3,-9.8,-9.3,-9.5,-9.6,-69,,,,,605
102175,CPE12000SG,TLR001052687,6/20/22 1:00,102175,WLTGG-122,1.001E+12,192.168.203.34,4082441,1,0.9,-93.6,-96.3,-94.3,-94.5,23.1,20.5,20.9,23.6,-9.4,-8.5,-8.5,-9.5,-64,,,,,488
102174,CPE12000SG,TLR001062014,6/20/22 1:00,102174,WLTGG-122,1.001E+12,192.168.203.39,1440022,2,9.5,-100.5,-101.4,-91.3,-92.4,11.8,10.1,18.6,19.3,-9.9,-10.4,-9.6,-9.4,-62,,,,,605
102173,CPE12300,21140007371,6/20/22 1:00,102173,CPE12300XG,1.001E+12,192.168.203.33,4082444,1,8.7,-109.7,-108.3,0,0,15.4,11.1,0,0,-9.7,-9.6,0,0,-79,-80.3,-78.9,0,0,488
102172,CPE12000SG,TLR001052550,6/20/22 1:00,102172,WLTGG-122,1.001E+12,192.168.203.35,4059292,2,23,-107.8,-111.1,-112.4,-109.4,15.6,10.9,9.3,12.3,-9.2,-10.3,-10.4,-10,-79,,,,,488
102171,CPE12000SG,TLR001052354,6/20/22 1:00,102171,WLTGG-122,1.001E+12,192.168.203.22,4059288,3,-999999,-99.4,-100.9,-98.7,-96.3,10.1,7.7,7.7,15.2,-9.3,-9.4,-9.2,-9.3,-67,,,,,488
