productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
CPE12000SG,TLR001052770,11/26/22 0:00,244969,WLTGG-122,1.001E+12,192.168.203.43,,2,,,,,,,,,,,,,,,,,,,605
CPE9000,GMK180819003927,11/26/22 0:00,244970,WLTMS-110,1.001E+12,192.168.203.47,7982207,2,6,-96,-98,,,11,7,,,-9,,,,,,,,,605
CPE12000SG,TLR001052745,11/26/22 0:00,244993,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052550,11/26/22 0:00,245000,WLTGG-122,1.001E+12,192.168.203.35,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001061822,11/26/22 0:00,244999,WLTGG-122,1.001E+12,192.168.203.36,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140000512,11/26/22 0:00,244994,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023697,11/26/22 0:00,244995,WLTGG-122,1.001E+12,192.168.203.10,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023730,11/26/22 0:00,244996,WLTGG-122,1.001E+12,192.168.203.21,2666649,,-999999,-97.9,-98.8,-97.5,-103.3,20.4,18.6,23.6,20.5,-9.4,-9.3,-9,-8.8,-69,,,,,
CPE12000SG,TLR001052985,11/26/22 0:00,244997,WLTGG-122,1.001E+12,192.168.203.38,1658306,,-999999,-98,-99.7,-96.3,-97.2,20.6,17.5,22.9,24.2,-11.6,-13.9,-14.3,-11.1,-62,,,,,
CPE12000SG,TLR001052820,11/26/22 0:00,244971,WLTGG-122,1.001E+12,192.168.203.46,2353055,2,-999999,-90.6,-89.3,-90.8,-90.3,13.3,14.6,12.8,13.7,-9.5,-9.4,-9.7,-9.5,-60,,,,,371
CPE12000SG,TLR001024748,11/26/22 0:00,244972,WLTGG-122,1.001E+12,192.168.203.12,84462,2,-999999,-102.4,-101.6,-99.7,-104.8,5.9,5.2,7.9,3.9,-10.3,-10.3,-9.6,-10.3,-70,,,,,605
CPE12300,21140007371,11/26/22 0:00,244973,CPE12300XG,1.001E+12,192.168.203.33,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052687,11/26/22 0:00,244974,WLTGG-122,1.001E+12,192.168.203.34,4359292,,-999999,-91.4,-93.9,-91.1,-89.2,22.7,17.1,19.8,25.8,-11.4,-14,-13.9,-11.5,-60,,,,,
CPE12000SG,TLR001052332,11/26/22 0:00,244975,WLTGG-122,1.001E+12,192.168.203.32,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052912,11/26/22 0:00,244976,WLTGG-122,1.001E+12,192.168.203.29,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001062014,11/26/22 0:00,244998,WLTGG-122,1.001E+12,192.168.203.39,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052382,11/26/22 0:00,244977,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024016,11/26/22 0:00,244978,WLTGG-122,1.001E+12,192.168.203.20,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001025025,11/26/22 0:00,244979,WLTGG-122,1.001E+12,192.168.203.14,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024549,11/26/22 0:00,244980,WLTGG-122,1.001E+12,192.168.203.19,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052983,11/26/22 0:00,244981,WLTGG-122,1.001E+12,192.168.203.27,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052354,11/26/22 0:00,244982,WLTGG-122,1.001E+12,192.168.203.22,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001048674,11/26/22 0:00,244983,WLTGG-122,1.001E+12,192.168.203.11,4319681,,-999999,-89.5,-92.1,-94.9,-93.5,25.1,24,19.5,23,-9.2,-9,-9.4,-9.7,-58,,,,,
CPE12000SG,TLR001052281,11/26/22 0:00,244984,WLTGG-122,1.001E+12,192.168.203.25,1148092,,-10.1,-80.7,-82.7,-83.9,-84,24.7,21.1,20.4,23.2,-8.7,-9.5,-9.2,-8.6,-48,,,,,
CPE12000SG,TLR001062295,11/26/22 0:00,244985,WLTGG-122,1.001E+12,192.168.203.26,190889,,7.8,-102.8,-98.8,-96.4,-97.9,9.1,11.9,15.7,17,-9.3,-9,-9,-9.2,-68,,,,,
CPE12000SG,TLR001024707,11/26/22 0:00,244986,WLTGG-122,1.001E+12,192.168.203.17,12341455,,-999999,-103.3,-99.6,-104.8,-99.7,20.2,23,18.1,24.1,-9.3,-9.7,-9.3,-9.3,-67,,,,,
CPE12300,21140003126,11/26/22 0:00,244987,CPE12300HG,1.001E+12,192.168.203.44,325792,,5.2,-91.5,-96.7,-103.6,-94.2,24.2,20.9,13.9,21,-9.4,-9.2,-10.1,-9.5,-63,-62.5,-67.7,-74,-65.1,
CPE12000SG,TLR001021226,11/26/22 0:00,244988,WLTGG-122,1.001E+12,192.168.203.13,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023657,11/26/22 0:00,244989,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052312,11/26/22 0:00,244990,WLTGG-122,1.001E+12,192.168.203.24,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052420,11/26/22 0:00,244991,WLTGG-122,1.001E+12,192.168.203.23,1766709,,-999999,-90.4,-88.3,-91,-93.4,29.1,27.6,23.4,24.6,-8.6,-9.2,-14.5,-13.4,-59,,,,,
CPE12000SG,TLR001052427,11/26/22 0:00,244992,WLTGG-122,1.001E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001021183,11/26/22 0:00,244964,WLTGG-122,1.001E+12,192.168.203.16,5041341,2,-999999,-101.4,-103.1,-111.2,-106.5,8.9,4.7,-5.6,2.6,-9.8,-10.6,-14.8,-11.4,-72,,,,,605
CPE12000SG,TLR001052247,11/26/22 0:00,244965,WLTGG-122,1.001E+12,192.168.203.28,17825563,2,-999999,-91.6,-90.2,-92.9,-95.6,18.5,18.9,17.7,17.4,-9.6,-9.6,-9.8,-9.7,-61,,,,,195
CPE12000SG,TLR001052293,11/26/22 0:00,244966,WLTGG-122,1.001E+12,192.168.203.40,1917325,2,-1.5,-81.6,-80.7,-81.1,-83.9,19,19.4,18.4,17.9,-9.3,-9.4,-9.4,-9.4,-51,,,,,605
CPE12000SG,TLR001061848,11/26/22 0:00,244967,WLTGG-122,1.001E+12,192.168.203.37,,2,,,,,,,,,,,,,,,,,,,0
CPE12000SG,TLR001023930,11/26/22 0:00,244968,WLTGG-122,1.001E+12,192.168.203.18,17820040,2,-999999,-88.5,-86.5,-85.9,-87.8,13.6,15.7,14.9,15.2,-9.3,-9.6,-9.5,-9,-57,,,,,488
CPE12000SG,TLR001023730,11/26/22 1:00,245033,WLTGG-122,1.001E+12,192.168.203.21,2670249,,-999999,-96.5,-99.2,-97.2,-102.3,20.6,17.4,24.2,20.6,-9.3,-9.3,-9.1,-9.1,-67,,,,,
CPE12000SG,TLR001023930,11/26/22 1:00,245006,WLTGG-122,1.001E+12,192.168.203.18,17823640,2,-999999,-87.8,-86,-85.9,-87.5,14.2,16.2,15,15.3,-9.4,-9.6,-9.6,-9.1,-57,,,,,488
CPE12000SG,TLR001052770,11/26/22 1:00,245007,WLTGG-122,1.001E+12,192.168.203.43,,2,,,,,,,,,,,,,,,,,,,605
CPE9000,GMK180819003927,11/26/22 1:00,245008,WLTMS-110,1.001E+12,192.168.203.47,7985807,2,7,-95,-105,,,7,3,,,-10,,,,,,,,,605
CPE12000SG,TLR001052820,11/26/22 1:00,245009,WLTGG-122,1.001E+12,192.168.203.46,2356655,2,-999999,-89.5,-88.4,-91.2,-90.1,16.2,17.5,14.1,15.3,-9.6,-9.3,-9.7,-9.6,-60,,,,,371
CPE12000SG,TLR001024748,11/26/22 1:00,245010,WLTGG-122,1.001E+12,192.168.203.12,88062,2,10.4,-103.2,-102.1,-99.2,-103.3,4.5,4.2,8.3,4.3,-10.1,-10.1,-9.4,-10.1,-70,,,,,605
CPE12000SG,TLR001052550,11/26/22 1:00,245037,WLTGG-122,1.001E+12,192.168.203.35,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001061822,11/26/22 1:00,245036,WLTGG-122,1.001E+12,192.168.203.36,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001062014,11/26/22 1:00,245035,WLTGG-122,1.001E+12,192.168.203.39,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052985,11/26/22 1:00,245034,WLTGG-122,1.001E+12,192.168.203.38,1661906,,-999999,-98.3,-100.1,-96.6,-97.6,20.2,17.3,23.3,23.7,-12,-13.8,-14.1,-11.2,-67,,,,,
CPE12000SG,TLR001023697,11/26/22 1:00,245032,WLTGG-122,1.001E+12,192.168.203.10,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140000512,11/26/22 1:00,245031,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140007371,11/26/22 1:00,245011,CPE12300XG,1.001E+12,192.168.203.33,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052745,11/26/22 1:00,245030,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052427,11/26/22 1:00,245029,WLTGG-122,1.001E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052420,11/26/22 1:00,245028,WLTGG-122,1.001E+12,192.168.203.23,1770309,,-999999,-90.3,-87.8,-90.9,-93.2,27.4,26.2,23.2,24.5,-13.5,-14.6,-14.6,-13.5,-53,,,,,
CPE12000SG,TLR001023657,11/26/22 1:00,245027,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001021226,11/26/22 1:00,245026,WLTGG-122,1.001E+12,192.168.203.13,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140003126,11/26/22 1:00,245025,CPE12300HG,1.001E+12,192.168.203.44,329392,,1.9,-91.3,-96.5,-104.3,-93.8,25.5,23.6,16.8,23.4,-9.3,-9.2,-12.6,-12.1,-59,-59.1,-66.6,-73.1,-63.3,
CPE12000SG,TLR001052687,11/26/22 1:00,245012,WLTGG-122,1.001E+12,192.168.203.34,4362893,,-2.1,-91.4,-93.9,-91.3,-89.5,21.9,16.7,19.8,24.7,-14.2,-14,-14.4,-14.4,-60,,,,,
CPE12000SG,TLR001024707,11/26/22 1:00,245024,WLTGG-122,1.001E+12,192.168.203.17,12345055,,-999999,-103.4,-98.7,-104.9,-100.2,19.7,23.8,16.9,23.2,-9.9,-9.8,-9,-9.4,-69,,,,,
CPE12000SG,TLR001024549,11/26/22 1:00,245018,WLTGG-122,1.001E+12,192.168.203.19,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001025025,11/26/22 1:00,245017,WLTGG-122,1.001E+12,192.168.203.14,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024016,11/26/22 1:00,245016,WLTGG-122,1.001E+12,192.168.203.20,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052382,11/26/22 1:00,245015,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052912,11/26/22 1:00,245014,WLTGG-122,1.001E+12,192.168.203.29,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052332,11/26/22 1:00,245013,WLTGG-122,1.001E+12,192.168.203.32,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001062295,11/26/22 1:00,245023,WLTGG-122,1.001E+12,192.168.203.26,194489,,9.9,-102.3,-99.1,-97.2,-99.2,10,11.5,14.2,16.2,-9,-9,-9,-9.1,-69,,,,,
CPE12000SG,TLR001052281,11/26/22 1:00,245022,WLTGG-122,1.001E+12,192.168.203.25,1151690,,-10.1,-80.6,-82.4,-83.7,-83.7,24.6,21.2,20.5,23.3,-8.5,-9.2,-9.1,-8.6,-48,,,,,
CPE12000SG,TLR001048674,11/26/22 1:00,245021,WLTGG-122,1.001E+12,192.168.203.11,4323281,,-999999,-89.2,-92,-95,-93.2,24.4,23.4,19.3,22.6,-9.1,-9.2,-9.6,-9.6,-60,,,,,
CPE12000SG,TLR001052354,11/26/22 1:00,245020,WLTGG-122,1.001E+12,192.168.203.22,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052983,11/26/22 1:00,245019,WLTGG-122,1.001E+12,192.168.203.27,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001021183,11/26/22 1:00,245001,WLTGG-122,1.001E+12,192.168.203.16,5044941,2,-999999,-101.1,-102.7,-109.6,-105.1,8.8,5.1,-4,1.5,-9.7,-10.1,-13.7,-11.7,-71,,,,,605
CPE12000SG,TLR001061848,11/26/22 1:00,245002,WLTGG-122,1.001E+12,192.168.203.37,,2,,,,,,,,,,,,,,,,,,,0
CPE12000SG,TLR001052247,11/26/22 1:00,245003,WLTGG-122,1.001E+12,192.168.203.28,17829163,2,-999999,-91.9,-90.4,-92.8,-95.4,18.5,19,17.9,17.6,-9.4,-9.5,-9.7,-9.6,-60,,,,,195
CPE12000SG,TLR001052293,11/26/22 1:00,245004,WLTGG-122,1.001E+12,192.168.203.40,1920925,2,-999999,-81.4,-80.4,-80.7,-83.5,18.9,19.7,19.1,18.5,-9.3,-9.5,-9.4,-9.4,-51,,,,,605
CPE12000SG,TLR001052312,11/26/22 1:00,245005,WLTGG-122,1.001E+12,192.168.203.24,367822,2,10.6,-107.7,-105.3,-106.6,-110.9,-5,-4.2,-3.8,-5.7,-14.1,-12.2,-13.3,-14.1,-72,,,,,605
CPE12000SG,TLR001052281,11/26/22 2:00,245059,WLTGG-122,1.001E+12,192.168.203.25,1155290,,-9.1,-80.6,-82.5,-83.7,-83.6,24.5,21.1,20.4,23.3,-8.5,-9.2,-9.1,-8.6,-52,,,,,
CPE12000SG,TLR001062295,11/26/22 2:00,245060,WLTGG-122,1.001E+12,192.168.203.26,198088,,6.2,-101.7,-99,-96,-97.7,15.9,16.8,21.5,20.5,-9,-8.9,-8.9,-9.2,-69,,,,,
CPE12000SG,TLR001052770,11/26/22 2:00,245044,WLTGG-122,1.001E+12,192.168.203.43,,2,,,,,,,,,,,,,,,,,,,605
CPE9000,GMK180819003927,11/26/22 2:00,245045,WLTMS-110,1.001E+12,192.168.203.47,7989407,2,7,-96,-100,,,9,4,,,-10,,,,,,,,,605
CPE12000SG,TLR001023697,11/26/22 2:00,245069,WLTGG-122,1.001E+12,192.168.203.10,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001021183,11/26/22 2:00,245038,WLTGG-122,1.001E+12,192.168.203.16,5048541,2,-999999,-100.4,-103.6,-109.5,-104.4,9.4,3.3,-2.6,3.3,-10.2,-11.6,-13.9,-11.2,-71,,,,,605
CPE12000SG,TLR001024707,11/26/22 2:00,245061,WLTGG-122,1.001E+12,192.168.203.17,12348655,,-999999,-102.2,-99,-103.1,-99.1,19.3,22.3,18.2,23.6,-9.5,-9.7,-8.9,-9.3,-69,,,,,
CPE12000SG,TLR001052247,11/26/22 2:00,245040,WLTGG-122,1.001E+12,192.168.203.28,17832764,2,-999999,-91.8,-90.4,-92.8,-95.4,18.4,18.9,17.7,17.3,-9.3,-9.5,-9.5,-9.5,-61,,,,,195
CPE12000SG,TLR001052293,11/26/22 2:00,245041,WLTGG-122,1.001E+12,192.168.203.40,1924525,2,-3.1,-81.4,-80.7,-81.4,-83.6,19.4,19.6,18.5,18.6,-9.4,-9.5,-9.5,-9.2,-52,,,,,605
CPE12000SG,TLR001023730,11/26/22 2:00,245070,WLTGG-122,1.001E+12,192.168.203.21,2673849,,-999999,-97.1,-99.9,-97.1,-101.3,20.7,17.4,23.6,22.2,-9.3,-9.3,-9.2,-9,-67,,,,,
CPE12000SG,TLR001052985,11/26/22 2:00,245071,WLTGG-122,1.001E+12,192.168.203.38,1665506,,-999999,-97.7,-99.7,-96.2,-97.6,20.8,17.5,24.3,24.1,-8.9,-9.3,-9.2,-9.4,-67,,,,,
CPE12000SG,TLR001062014,11/26/22 2:00,245072,WLTGG-122,1.001E+12,192.168.203.39,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001061822,11/26/22 2:00,245073,WLTGG-122,1.001E+12,192.168.203.36,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140003126,11/26/22 2:00,245062,CPE12300HG,1.001E+12,192.168.203.44,332992,,6.9,-91.4,-96.6,-103.8,-93.9,25.9,23.6,17.4,23.8,-9.3,-9.3,-9.9,-9.4,-61,-62.3,-67.5,-74.2,-64.8,
CPE12000SG,TLR001052332,11/26/22 2:00,245050,WLTGG-122,1.001E+12,192.168.203.32,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001061848,11/26/22 2:00,245039,WLTGG-122,1.001E+12,192.168.203.37,,2,,,,,,,,,,,,,,,,,,,0
CPE12000SG,TLR001052312,11/26/22 2:00,245042,WLTGG-122,1.001E+12,192.168.203.24,371423,2,8.2,-107.5,-105.9,-107.9,-110.7,-4.5,-4.2,-6.5,-6.3,-12.9,-12.3,-13.8,-15,-72,,,,,0
CPE12000SG,TLR001052912,11/26/22 2:00,245051,WLTGG-122,1.001E+12,192.168.203.29,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052382,11/26/22 2:00,245052,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001021226,11/26/22 2:00,245063,WLTGG-122,1.001E+12,192.168.203.13,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023657,11/26/22 2:00,245064,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052420,11/26/22 2:00,245065,WLTGG-122,1.001E+12,192.168.203.23,1773909,,-999999,-90.7,-88.2,-91.1,-93,29.5,28.5,24.1,26,-8.7,-9.2,-9.1,-8.8,-59,,,,,
CPE12000SG,TLR001052427,11/26/22 2:00,245066,WLTGG-122,1.001E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052745,11/26/22 2:00,245067,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140000512,11/26/22 2:00,245068,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024016,11/26/22 2:00,245053,WLTGG-122,1.001E+12,192.168.203.20,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023930,11/26/22 2:00,245043,WLTGG-122,1.001E+12,192.168.203.18,17827240,2,-999999,-87.8,-86.1,-85.9,-87.5,14.3,15.7,14.9,14.6,-9.3,-9.7,-9.5,-9.1,-57,,,,,488
CPE12000SG,TLR001025025,11/26/22 2:00,245054,WLTGG-122,1.001E+12,192.168.203.14,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024549,11/26/22 2:00,245055,WLTGG-122,1.001E+12,192.168.203.19,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052983,11/26/22 2:00,245056,WLTGG-122,1.001E+12,192.168.203.27,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052354,11/26/22 2:00,245057,WLTGG-122,1.001E+12,192.168.203.22,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001048674,11/26/22 2:00,245058,WLTGG-122,1.001E+12,192.168.203.11,4326881,,-2.1,-89.1,-92.1,-94.6,-92.9,24.6,23.1,19.9,23.2,-9.1,-9.2,-9.5,-9.5,-60,,,,,
CPE12000SG,TLR001052550,11/26/22 2:00,245074,WLTGG-122,1.001E+12,192.168.203.35,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052820,11/26/22 2:00,245046,WLTGG-122,1.001E+12,192.168.203.46,2360255,2,-999999,-89.6,-88.7,-91,-90.1,16.2,16.5,13.6,14.6,-9.3,-9.4,-9.6,-9.6,-60,,,,,371
CPE12000SG,TLR001024748,11/26/22 2:00,245047,WLTGG-122,1.001E+12,192.168.203.12,91662,2,-999999,-102,-100.8,-98,-103.8,6.3,6.8,8.6,3.3,-10,-9.8,-9.4,-10.5,-67,,,,,605
CPE12300,21140007371,11/26/22 2:00,245048,CPE12300XG,1.001E+12,192.168.203.33,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052687,11/26/22 2:00,245049,WLTGG-122,1.001E+12,192.168.203.34,4366492,,-999999,-91.3,-93.5,-91.6,-89.6,22.8,17.7,19.6,26.2,-9.3,-8.7,-9,-9.4,-60,,,,,
CPE12000SG,TLR001023730,11/26/22 3:00,245106,WLTGG-122,1.001E+12,192.168.203.21,2677449,,-999999,-98,-99,-97,-101.2,19.9,18.2,23.5,21.6,-9.5,-9.3,-9,-9.1,-68,,,,,
CPE12000SG,TLR001023697,11/26/22 3:00,245105,WLTGG-122,1.001E+12,192.168.203.10,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052687,11/26/22 3:00,245085,WLTGG-122,1.001E+12,192.168.203.34,4370092,,-999999,-92,-94.3,-91,-89,22.3,16.6,20.8,27.4,-9.5,-8.7,-8.8,-9.4,-60,,,,,
CPE12000SG,TLR001052332,11/26/22 3:00,245086,WLTGG-122,1.001E+12,192.168.203.32,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052912,11/26/22 3:00,245087,WLTGG-122,1.001E+12,192.168.203.29,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052382,11/26/22 3:00,245088,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024016,11/26/22 3:00,245089,WLTGG-122,1.001E+12,192.168.203.20,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001025025,11/26/22 3:00,245090,WLTGG-122,1.001E+12,192.168.203.14,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024549,11/26/22 3:00,245091,WLTGG-122,1.001E+12,192.168.203.19,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052983,11/26/22 3:00,245092,WLTGG-122,1.001E+12,192.168.203.27,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052354,11/26/22 3:00,245093,WLTGG-122,1.001E+12,192.168.203.22,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001048674,11/26/22 3:00,245094,WLTGG-122,1.001E+12,192.168.203.11,4330481,,-4.1,-89.4,-92.2,-94.8,-93.7,24.7,23.4,19.5,22.6,-9.2,-9.1,-9.5,-9.6,-61,,,,,
CPE12000SG,TLR001052281,11/26/22 3:00,245095,WLTGG-122,1.001E+12,192.168.203.25,1158890,,-999999,-80.6,-82.5,-83.7,-83.6,24.6,21.1,20.5,23.2,-8.7,-9.3,-9.1,-8.6,-52,,,,,
CPE12000SG,TLR001062295,11/26/22 3:00,245096,WLTGG-122,1.001E+12,192.168.203.26,201689,,6.6,-102.3,-98.7,-96.5,-98.8,15.6,16.8,20.5,19.6,-8.8,-8.8,-8.9,-9.2,-68,,,,,
CPE12000SG,TLR001024707,11/26/22 3:00,245097,WLTGG-122,1.001E+12,192.168.203.17,12352255,,-999999,-103.2,-99.5,-105.2,-99.8,19.7,22.5,16.3,23.2,-9.6,-9.7,-9.4,-9.3,-70,,,,,
CPE12300,21140003126,11/26/22 3:00,245098,CPE12300HG,1.001E+12,192.168.203.44,336592,,3.9,-91.4,-96.4,-104.1,-94.1,26.6,24,16.8,23.9,-9.4,-9.2,-9.9,-9.3,-62,-62.2,-67.3,-74.5,-64.9,
CPE12000SG,TLR001021226,11/26/22 3:00,245099,WLTGG-122,1.001E+12,192.168.203.13,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023657,11/26/22 3:00,245100,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052420,11/26/22 3:00,245101,WLTGG-122,1.001E+12,192.168.203.23,1777509,,-3.1,-90.4,-88,-90.8,-93,30.3,29.4,24.4,26.3,-8.7,-9.2,-9.2,-8.9,-59,,,,,
CPE12000SG,TLR001052427,11/26/22 3:00,245102,WLTGG-122,1.001E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052745,11/26/22 3:00,245103,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140000512,11/26/22 3:00,245104,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001021183,11/26/22 3:00,245075,WLTGG-122,1.001E+12,192.168.203.16,5052141,2,-999999,-101.9,-102.9,-110,-107.5,8.7,4.9,-4.5,-0.2,-9.7,-10.5,-14.2,-12.2,-72,,,,,605
CPE12000SG,TLR001052247,11/26/22 3:00,245076,WLTGG-122,1.001E+12,192.168.203.28,17836363,2,6.9,-91.8,-90.4,-92.7,-95.3,18.6,19,17.8,17.6,-9.2,-9.4,-9.6,-9.4,-61,,,,,195
CPE12000SG,TLR001052293,11/26/22 3:00,245077,WLTGG-122,1.001E+12,192.168.203.40,1928125,2,-999999,-81.5,-80.6,-80.9,-83.7,18.9,19.4,18.9,18.3,-9.5,-9.6,-9.5,-9.3,-51,,,,,605
