productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
CPE12300,21140003126,12/31/22 23:00,276919,CPE12300HG,1.00E+12,192.168.203.44,34681,,2.9,-93.8,-100.2,-105.4,-99,22.5,18.3,14.4,18.9,-9.3,-9.4,-9.8,-9.8,-64,-64.7,-71.2,-76.1,-69.4,
CPE12000SG,TLR001052293,12/31/22 23:00,276926,WLTGG-122,1.00E+12,192.168.203.40,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052745,12/31/22 23:00,276925,WLTGG-122,1.00E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024707,12/31/22 23:00,276918,WLTGG-122,1.00E+12,192.168.203.17,453415,,8.5,-107.8,-104.1,-102.6,-105.4,14.6,17,19.3,18.1,-10.1,-9.6,-9.2,-9.3,-72,,,,,
CPE12000SG,TLR001062295,12/31/22 23:00,276917,WLTGG-122,1.00E+12,192.168.203.26,3297689,,-999999,-100,-101.9,-96.9,-105.5,20.3,15.1,20.3,11.6,-9.5,-9.2,-8.8,-9.1,-67,,,,,
CPE12000SG,TLR001052281,12/31/22 23:00,276916,WLTGG-122,1.00E+12,192.168.203.25,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001048674,12/31/22 23:00,276915,WLTGG-122,1.00E+12,192.168.203.11,691918,,1.9,-91.1,-93,-96.1,-95.3,23.8,20.6,18.3,22.1,-9.2,-9.2,-9.7,-9.5,-63,,,,,
CPE12000SG,TLR001052354,12/31/22 23:00,276914,WLTGG-122,1.00E+12,192.168.203.22,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052983,12/31/22 23:00,276913,WLTGG-122,1.00E+12,192.168.203.27,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024549,12/31/22 23:00,276912,WLTGG-122,1.00E+12,192.168.203.19,691919,,-6.1,-87.6,-92.5,-88.4,-91.3,20.9,17.9,21.4,19,-9.1,-9.5,-9.3,-9,-57,,,,,
CPE12000SG,TLR001025025,12/31/22 23:00,276911,WLTGG-122,1.00E+12,192.168.203.14,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024016,12/31/22 23:00,276910,WLTGG-122,1.00E+12,192.168.203.20,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052420,12/31/22 23:00,276923,WLTGG-122,1.00E+12,192.168.203.23,643380,,-2.1,-91.6,-89.7,-91.2,-96.5,29.4,28.6,25.2,24.4,-8.8,-9.3,-9.3,-9.1,-61,,,,,
CPE12000SG,TLR001021226,12/31/22 23:00,276920,WLTGG-122,1.00E+12,192.168.203.13,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052312,12/31/22 23:00,276922,WLTGG-122,1.00E+12,192.168.203.24,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023930,12/31/22 23:00,276895,WLTGG-122,1.00E+12,192.168.203.18,453381,2,-999999,-89.8,-87.1,-85.9,-88,14.2,15.5,16.9,18.3,-9.4,-9.5,-9.6,-9.2,-56,,,,,371
CPE12000SG,TLR001021183,12/31/22 23:00,276896,WLTGG-122,1.00E+12,192.168.203.16,749190,2,-999999,-107.6,-110.5,-107.2,-103.4,2.6,-1.9,-1.5,4.1,-11.5,-14,-12.4,-10.5,-75,,,,,605
CPE12000SG,TLR001052247,12/31/22 23:00,276897,WLTGG-122,1.00E+12,192.168.203.28,691918,2,-999999,-92.2,-91.2,-93.1,-95.4,19,18.6,18.2,17.9,-9.1,-9.2,-9.6,-9.4,-62,,,,,195
CPE12000SG,TLR001052770,12/31/22 23:00,276898,WLTGG-122,1.00E+12,192.168.203.43,710857,2,-999999,-92.7,-93.3,-90.7,-92.8,2.4,3.8,2.4,0.7,-10.2,-10.4,-10.9,-11.9,-61,,,,,781
CPE12000SG,TLR001052382,12/31/22 23:00,276909,WLTGG-122,1.00E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052912,12/31/22 23:00,276908,WLTGG-122,1.00E+12,192.168.203.29,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052332,12/31/22 23:00,276907,WLTGG-122,1.00E+12,192.168.203.32,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052687,12/31/22 23:00,276906,WLTGG-122,1.00E+12,192.168.203.34,453382,,-999999,-91.6,-93.3,-92.6,-90.1,21.2,17.4,18.1,25.1,-12.5,-14.3,-14.6,-12.8,-62,,,,,
CPE12000SG,TLR001061848,12/31/22 23:00,276899,WLTGG-122,1.00E+12,192.168.203.37,457005,2,-999999,-79.9,-77.9,-76.2,-78.1,16.6,18.4,19.7,17.9,-9.3,-9.4,-9.3,-9.2,-47,,,,,605
CPE12000SG,TLR001052427,12/31/22 23:00,276924,WLTGG-122,1.00E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052820,12/31/22 23:00,276900,WLTGG-122,1.00E+12,192.168.203.46,374463,2,-999999,-90.9,-92,-91.2,-90.3,14.7,14.5,13.7,14.7,-9.6,-9.6,-9.6,-9.7,-61,,,,,371
CPE12000SG,TLR001061822,12/31/22 23:00,276901,WLTGG-122,1.00E+12,192.168.203.36,457151,2,-6.1,-82.8,-79.8,-81.5,-83.3,16.9,21,19.6,17.4,-9.3,-9.2,-9.5,-9.2,-51,,,,,605
CPE12000SG,TLR001052550,12/31/22 23:00,276931,WLTGG-122,1.00E+12,192.168.203.35,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001062014,12/31/22 23:00,276930,WLTGG-122,1.00E+12,192.168.203.39,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052985,12/31/22 23:00,276929,WLTGG-122,1.00E+12,192.168.203.38,453413,,-999999,-99,-102,-102.6,-102.1,19.5,17.5,16.9,19.4,-14.5,-14.1,-14.6,-14.7,-71,,,,,
CPE12000SG,TLR001023730,12/31/22 23:00,276928,WLTGG-122,1.00E+12,192.168.203.21,453413,,-999999,-101.2,-105.9,-106,-104.1,19.8,13.6,14.7,17.1,-9.5,-10.2,-9.5,-9.8,-69,,,,,
CPE12000SG,TLR001024748,12/31/22 23:00,276902,WLTGG-122,1.00E+12,192.168.203.12,2807637,2,-999999,-108.8,-109.6,-104.5,-110.4,0.7,-4.1,1.5,-2.2,-12,-14.1,-11.5,-13.7,-74,,,,,605
CPE12000SG,TLR001023657,12/31/22 23:00,276921,WLTGG-122,1.00E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,
CPE9000,GMK180819003927,12/31/22 23:00,276903,WLTMS-110,1.00E+12,192.168.203.47,11089007,2,10,-102,-97,,,2,6,,,-10,,,,,,,,,605
CPE12000SG,TLR001023697,12/31/22 23:00,276904,WLTGG-122,1.00E+12,192.168.203.10,1206750,2,-999999,-99.2,-101.5,-100.5,-102.3,5.9,5.8,7.4,6.6,-10,-10.5,-9.6,-10.2,-70,,,,,605
CPE12300,21140000512,12/31/22 23:00,276927,CPE12300HG,1.00E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
CPE12300,21140007371,12/31/22 23:00,276905,CPE12300XG,1.00E+12,192.168.203.33,453384,,7.6,-98.6,-99.8,0,0,17.2,12.7,0,0,-9.9,-9,0,0,-69,-68.2,-69.9,0,0,
CPE12000SG,TLR001061822,1/1/23 0:00,276938,WLTGG-122,1.00E+12,192.168.203.36,460751,2,-7.1,-83,-79.9,-81.8,-83.4,16.4,20.6,19.1,17.1,-9.4,-9.4,-9.5,-9.4,-50,,,,,605
CPE12000SG,TLR001052985,1/1/23 0:00,276966,WLTGG-122,1.00E+12,192.168.203.38,457013,,-999999,-104.6,-103.5,-102.2,-100.2,15.1,16.2,17.3,20.2,-9.2,-9.3,-9.6,-9.6,-71,,,,,
CPE12000SG,TLR001062014,1/1/23 0:00,276967,WLTGG-122,1.00E+12,192.168.203.39,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052550,1/1/23 0:00,276968,WLTGG-122,1.00E+12,192.168.203.35,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001023730,1/1/23 0:00,276965,WLTGG-122,1.00E+12,192.168.203.21,457013,,-999999,-98.9,-104.2,-101.7,-103.8,19.8,15.9,17.7,19.6,-14.6,-13.7,-12.6,-13.7,-69,,,,,
CPE12300,21140000512,1/1/23 0:00,276964,CPE12300HG,1.00E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052293,1/1/23 0:00,276963,WLTGG-122,1.00E+12,192.168.203.40,,,,,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052745,1/1/23 0:00,276962,WLTGG-122,1.00E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,
