productclass,serial,coll_time_round,ue_wan_ip,rsrp0,rsrp1,rsrp2,rsrp3,Avg Rsrp,sinr0,sinr1,sinr2,sinr3,Avg Sinr,rsrq,rsrq1,rsrq2,rsrq3,Avg Rsrq,rssi,distance
CPE12000SG,TLR001052550,1/21/23 23:00,192.168.203.35,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001024748,1/21/23 23:00,192.168.203.12,-108.7,-106.8,-103.2,-105.5,-106.05,-0.4,0.2,4.3,3.4,1.875,-12.8,-11.8,-10.9,-11.1,-11.65,-73,605
CPE12000SG,TLR001061848,1/21/23 23:00,192.168.203.37,-83.3,-80.8,-78.1,-79.8,-80.5,15.1,16.1,18.6,17,16.7,-9.6,-9.5,-9.4,-9.4,-9.475,-49,605
CPE12000SG,TLR001052247,1/21/23 23:00,192.168.203.28,-92,-91.4,-93,-95.5,-92.975,18.6,18.4,17.1,16.7,17.7,-9.4,-9.4,-9.7,-9.6,-9.525,-62,195
CPE12000SG,TLR001061822,1/21/23 23:00,192.168.203.36,-80.5,-79.1,-81.5,-81.9,-80.75,18.6,21.4,18.7,18.3,19.25,-9.4,-9.3,-9.6,-9.5,-9.45,-50,605
CPE12000SG,TLR001052293,1/21/23 23:00,192.168.203.40,-81.7,-80.3,-81.5,-83.8,-81.825,21,20.9,17.9,18.6,19.6,-9.2,-9.3,-9.5,-9.3,-9.325,-51,605
CPE12000SG,TLR001023697,1/21/23 23:00,192.168.203.10,-99.7,,-99.8,-99.8,-99.76666667,7,7.7,8.6,8,7.825,-10.2,-10.3,-9.7,-9.6,-9.95,-70,605
CPE9000,GMK180819003927,1/21/23 23:00,192.168.203.47,-99,-99,,,-99,6,9,,,7.5,-10,,,,-10,,605
CPE12000SG,TLR001052820,1/21/23 23:00,192.168.203.46,-88.6,-89.9,-89.7,-90,-89.55,16.4,15.4,15.7,15.6,15.775,-9.5,-9.5,-9.3,-9.5,-9.45,-59,371
CPE12000SG,TLR001021183,1/21/23 23:00,192.168.203.16,-105.6,-107.9,-107.7,-104.3,-106.375,2.2,0.4,-2.5,1.4,0.375,-11,-12.5,-13.2,-11.5,-12.05,-73,605
CPE12000SG,TLR001052312,1/21/23 23:00,192.168.203.24,-105.1,-105.4,-101.6,-108,-105.025,-1.8,-5.8,1.8,-7.2,-3.25,-11.2,-12.9,-8.9,-13.4,-11.6,-71,605
CPE12300,21140007371,1/21/23 23:00,192.168.203.33,-92.7,-95.6,0,0,-47.075,18,12.2,0,0,7.55,-9.6,-9.1,0,0,-4.675,-62,
CPE12000SG,TLR001052687,1/21/23 23:00,192.168.203.34,-91.5,-95.9,-89.7,-88.4,-91.375,22.1,15.6,22.9,26.2,21.7,-9.3,-9.1,-8.6,-9.4,-9.1,-58,
CPE12000SG,TLR001052332,1/21/23 23:00,192.168.203.32,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052912,1/21/23 23:00,192.168.203.29,,,,,,,,,,,,,,,,,
CPE12000SG,TLR001052382,1/21/23 23:00,192.168.203.30,,,,,,,,,,,,,,,,,
