,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Unnamed: 0,productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,physical_cell_id,serving_cell_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,sinr0,sinr1,sinr2,sinr3,rsrq,rsrq1,rsrq2,rsrq3,rssi,rssi0,rssi1,rssi2,rssi3,distance
363583,CPE12000SG,TLR001023657,4/8/2023 11:00,363583,WLTGG-122,1.001E+12,192.168.203.15,,,,,,,,,,,,,,,,,,,,,,,
363555,CPE12000SG,TLR001023697,4/8/2023 11:00,363555,WLTGG-122,1.001E+12,192.168.203.10,1169478,2,2,0,-999999,-102.3,-101.5,-95.2,-96.4,13.5,13.1,18.6,18.6,-9.4,-9.6,-9.5,-9.3,-66,,,,,605
363556,CPE12000SG,TLR001062014,4/8/2023 11:00,363556,WLTGG-122,1.001E+12,192.168.203.39,1946082,2,2,0,-10.1,-84.6,-81.2,-80.7,-82.9,19.4,19,17.7,20.2,-9.3,-9.8,-9.8,-9.1,-51,,,,,488
363557,CPE12000SG,TLR001061848,4/8/2023 11:00,363557,WLTGG-122,1.001E+12,192.168.203.37,8877405,2,2,0,-999999,-80.5,-78.6,-75.8,-77.5,16.8,17.6,20.7,18.7,-9.2,-9.7,-9.5,-9.2,-47,,,,,605
363558,CPE12000SG,TLR001021183,4/8/2023 11:00,363558,WLTGG-122,1.001E+12,192.168.203.16,750417,2,2,0,-999999,-106.3,-112.5,-108.2,-102.6,11.9,3.8,6.9,14.3,-9.7,-11.6,-11.3,-9.6,-74,,,,,605
363559,CPE12000SG,TLR001061822,4/8/2023 11:00,363559,WLTGG-122,1.001E+12,192.168.203.36,236718,2,2,0,-11.1,-81,-78.6,-80.1,-81.7,17.8,21.2,19.7,17.6,-9.4,-9.6,-9.7,-9.4,-49,,,,,605
363560,CPE12000SG,TLR001023930,4/8/2023 11:00,363560,WLTGG-122,1.001E+12,192.168.203.18,8873781,2,2,0,-999999,-87.8,-85.1,-85.6,-87.1,21,20.5,20.3,22.9,-9.2,-9.8,-9.5,-8.9,-56,,,,,605
363561,CPE12000SG,TLR001024748,4/8/2023 11:00,363561,WLTGG-122,1.001E+12,192.168.203.12,1169479,2,2,0,-999999,-110.6,-105.5,-100.9,-102.9,8.2,11.5,15,14.9,-10.7,-9.5,-9.5,-9.6,-71,,,,,605
363562,CPE12000SG,TLR001052312,4/8/2023 11:00,363562,WLTGG-122,1.001E+12,192.168.203.24,2290061,2,2,0,-999999,-106,-108.1,-102.1,-109.2,6.9,6.4,6.4,4.2,-10.4,-11.2,-10.2,-11.3,-72,,,,,605
363563,CPE12000SG,TLR001021226,4/8/2023 11:00,363563,WLTGG-122,1.001E+12,192.168.203.13,9131258,2,2,0,7.8,-110.9,-107,-106.8,-106.9,1.4,2.8,4.4,7.1,-12.1,-12.1,-12.5,-10.9,-75,,,,,605
363564,CPE9000,GMK180819003927,4/8/2023 11:00,363564,WLTMS-110,1.001E+12,192.168.203.47,1169468,2,2,0,7,-103,-98,,,6,10,,,-10,,,,,,,,,605
363565,CPE12000SG,TLR001052293,4/8/2023 11:00,363565,WLTGG-122,1.001E+12,192.168.203.40,6740945,2,2,0,-14.1,-80.3,-78.8,-79.9,-83.1,21.3,22,20,19.9,-9,-9.6,-9.7,-9.2,-50,,,,,605
363566,CPE12000SG,TLR001052247,4/8/2023 11:00,363566,WLTGG-122,1.001E+12,192.168.203.28,7516433,2,2,0,-999999,-92.3,-90.2,-92.6,-95.5,19.5,20.1,18.8,17.4,-9.3,-9.5,-9.8,-9.5,-61,,,,,78
363584,CPE12000SG,TLR001052770,4/8/2023 11:00,363584,WLTGG-122,1.001E+12,192.168.203.43,,,,,,,,,,,,,,,,,,,,,,,
363585,CPE12000SG,TLR001052420,4/8/2023 11:00,363585,WLTGG-122,1.001E+12,192.168.203.23,818947,,1,,-999999,-90.9,-89,-89.7,-93.4,28.4,25.4,23.4,24.4,-8.6,-9.1,-9,-8.8,-58,,,,,
363586,CPE12000SG,TLR001052427,4/8/2023 11:00,363586,WLTGG-122,1.001E+12,192.168.203.42,,,,,,,,,,,,,,,,,,,,,,,
363569,CPE12000SG,TLR001052332,4/8/2023 11:00,363569,WLTGG-122,1.001E+12,192.168.203.32,,,,,,,,,,,,,,,,,,,,,,,
363568,CPE12000SG,TLR001052687,4/8/2023 11:00,363568,WLTGG-122,1.001E+12,192.168.203.34,8873783,,1,,-2.1,-91.9,-96.5,-90.2,-90.2,22.8,15.8,22.2,24.7,-13.1,-14.3,-14.2,-13.3,-56,,,,,
363567,CPE12300,21140007371,4/8/2023 11:00,363567,CPE12300XG,1.001E+12,192.168.203.33,138712,,1,,1.9,-92.8,-96.3,0,0,19.7,13.8,0,0,-9.5,-9.1,0,0,-64,-63.5,-67.3,0,0,
363582,CPE12300,21140003126,4/8/2023 11:00,363582,CPE12300HG,1.001E+12,192.168.203.44,139603,,1,,3.7,-92.5,-99.9,-104.8,-97.6,23.7,17.7,11.9,20.1,-14.2,-14.5,-14.5,-14.3,-63,-58.3,-65.5,-70.5,-63.3,
363581,CPE12000SG,TLR001024707,4/8/2023 11:00,363581,WLTGG-122,1.001E+12,192.168.203.17,8873815,,1,,7.9,-103.1,-100.1,-100.3,-101.4,14.4,15.8,14.1,14.7,-9.4,-9.3,-9.4,-9.2,-68,,,,,
363580,CPE12000SG,TLR001052820,4/8/2023 11:00,363580,WLTGG-122,1.001E+12,192.168.203.46,,,,,,,,,,,,,,,,,,,,,,,
363579,CPE12000SG,TLR001062295,4/8/2023 11:00,363579,WLTGG-122,1.001E+12,192.168.203.26,1169479,,3,,-999999,-104.3,-103.3,-97.9,-98.7,12.2,10.8,17.1,16.7,-9.7,-9.9,-8.7,-9.1,-69,,,,,
363578,CPE12000SG,TLR001052281,4/8/2023 11:00,363578,WLTGG-122,1.001E+12,192.168.203.25,79692,,1,,-999999,-80,-81.6,-83.6,-83.4,25,21.8,21.1,24,-8.5,-9.1,-9,-8.5,-50,,,,,
363577,CPE12000SG,TLR001048674,4/8/2023 11:00,363577,WLTGG-122,1.001E+12,192.168.203.11,9112318,,1,,-999999,-89.2,-91.3,-94.2,-92.2,24.4,23.3,19.5,22.7,-9,-9.1,-9.3,-9.3,-56,,,,,
363576,CPE12000SG,TLR001052983,4/8/2023 11:00,363576,WLTGG-122,1.001E+12,192.168.203.27,,,,,,,,,,,,,,,,,,,,,,,
363575,CPE12000SG,TLR001052354,4/8/2023 11:00,363575,WLTGG-122,1.001E+12,192.168.203.22,1169477,,3,,-999999,-99.9,-100.4,-93.9,-91.9,11.3,6.2,13.2,19.6,-9.7,-10.1,-8.9,-9.1,-63,,,,,
363574,CPE12000SG,TLR001024549,4/8/2023 11:00,363574,WLTGG-122,1.001E+12,192.168.203.19,9112318,,1,,-999999,-86.6,-92.5,-88.6,-91.6,19.2,17.1,20.5,18.1,-9.2,-9.3,-9.1,-9.1,-58,,,,,
363573,CPE12000SG,TLR001025025,4/8/2023 11:00,363573,WLTGG-122,1.001E+12,192.168.203.14,,,,,,,,,,,,,,,,,,,,,,,
363572,CPE12000SG,TLR001024016,4/8/2023 11:00,363572,WLTGG-122,1.001E+12,192.168.203.20,,,,,,,,,,,,,,,,,,,,,,,
363571,CPE12000SG,TLR001052382,4/8/2023 11:00,363571,WLTGG-122,1.001E+12,192.168.203.30,,,,,,,,,,,,,,,,,,,,,,,
363570,CPE12000SG,TLR001052912,4/8/2023 11:00,363570,WLTGG-122,1.001E+12,192.168.203.29,1169479,,3,,-999999,-102.8,-102.9,-100.2,-107.4,12.7,13.3,13.2,12.4,-9.3,-9.5,-8.9,-9.6,-71,,,,,
363587,CPE12000SG,TLR001052745,4/8/2023 11:00,363587,WLTGG-122,1.001E+12,192.168.203.5,,,,,,,,,,,,,,,,,,,,,,,
363588,CPE12300,21140000512,4/8/2023 11:00,363588,CPE12300HG,1.001E+12,192.168.203.41,,,,,,,,,,,,,,,,,,,,,,,
