datetime (UTC),"coordinates (lat,lon)",temperature (degC),relative_humidity (0-1),wind_speed (m/s),surface_pressure (Pa),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
6/20/22 0:00,"(42.886717, -78.878392)",18.69,0.41,2.1,99526.78,0,0
6/20/22 1:00,"(42.886717, -78.878392)",17.29,0.45,2.03,99502.64,0,0
6/20/22 2:00,"(42.886717, -78.878392)",15.88,0.5,2.34,99545.66,0,0
6/20/22 3:00,"(42.886717, -78.878392)",14.7,0.53,2.74,99574.51,0,0
6/20/22 4:00,"(42.886717, -78.878392)",14.33,0.56,2.6,99598.12,0,0
6/20/22 5:00,"(42.886717, -78.878392)",13.42,0.61,2.4,99616.09,0,0
6/20/22 6:00,"(42.886717, -78.878392)",13.55,0.61,2.16,99642.87,0,0
6/20/22 7:00,"(42.886717, -78.878392)",14.14,0.61,1.71,99665.45,0,0
6/20/22 8:00,"(42.886717, -78.878392)",14.21,0.64,0.88,99635.73,0,0
6/20/22 9:00,"(42.886717, -78.878392)",13.61,0.69,0.71,99636.31,0,0
6/20/22 10:00,"(42.886717, -78.878392)",14.13,0.7,0.06,99721.24,0,0
6/20/22 11:00,"(42.886717, -78.878392)",14.74,0.67,1.41,99750,0,0
6/20/22 12:00,"(42.886717, -78.878392)",15.63,0.6,2.4,99749.89,0,0
6/20/22 13:00,"(42.886717, -78.878392)",16.53,0.54,2.6,99760.55,0,0
6/20/22 14:00,"(42.886717, -78.878392)",18.19,0.49,2.82,99736.69,0,0
6/20/22 15:00,"(42.886717, -78.878392)",19.59,0.43,3.25,99731.44,0,0
6/20/22 16:00,"(42.886717, -78.878392)",20.43,0.39,3.63,99749.79,0,0
6/20/22 17:00,"(42.886717, -78.878392)",21.03,0.41,4.06,99733.83,0,0
6/20/22 18:00,"(42.886717, -78.878392)",21.04,0.46,4.42,99719.12,0,0
6/20/22 19:00,"(42.886717, -78.878392)",20.64,0.53,4.45,99667.05,0,0
6/20/22 20:00,"(42.886717, -78.878392)",20.07,0.59,4.98,99626.34,0,0
6/20/22 21:00,"(42.886717, -78.878392)",19.94,0.61,4.8,99559.04,0,0
6/20/22 22:00,"(42.886717, -78.878392)",18.64,0.68,3.83,99537.02,0,0
6/20/22 23:00,"(42.886717, -78.878392)",18.49,0.67,3.16,99548.82,0,0
6/21/22 0:00,"(42.886717, -78.878392)",18.8,0.66,3.05,99493.52,0,0
6/21/22 1:00,"(42.886717, -78.878392)",18.46,0.69,2.7,99482.84,0.01,0
6/21/22 2:00,"(42.886717, -78.878392)",17.8,0.73,2.44,99538.79,0,0
6/21/22 3:00,"(42.886717, -78.878392)",17.54,0.73,3.31,99459.07,0,0
6/21/22 4:00,"(42.886717, -78.878392)",17.55,0.72,3.74,99415.53,0,0
6/21/22 5:00,"(42.886717, -78.878392)",17.75,0.71,3.86,99347.12,0.34,0
6/21/22 6:00,"(42.886717, -78.878392)",18.02,0.69,3.82,99292.44,0.3,0
6/21/22 7:00,"(42.886717, -78.878392)",17.81,0.71,3.59,99301.84,0.1,0
6/21/22 8:00,"(42.886717, -78.878392)",17.49,0.74,3.58,99283.95,0.18,0
6/21/22 9:00,"(42.886717, -78.878392)",17.49,0.77,3.58,99301.97,0.6,0
6/21/22 10:00,"(42.886717, -78.878392)",17.61,0.77,3.84,99318.43,0.73,0
6/21/22 11:00,"(42.886717, -78.878392)",17.74,0.8,3.73,99335.41,0.02,0
6/21/22 12:00,"(42.886717, -78.878392)",18.81,0.79,3.93,99303.3,0,0
6/21/22 13:00,"(42.886717, -78.878392)",20.06,0.75,4.06,99330.54,0,0
6/21/22 14:00,"(42.886717, -78.878392)",21.71,0.68,4.72,99286.12,0,0
6/21/22 15:00,"(42.886717, -78.878392)",23.4,0.64,5.17,99225.67,0,0
6/21/22 16:00,"(42.886717, -78.878392)",23.87,0.62,5.52,99158.67,0,0
