productclass,serial,coll_time_round,result_id,model,imsi,ue_wan_ip,ue_up_time,serving_enb_id,tx_power,rsrp0,rsrp1,rsrp2,rsrp3,mean_AvgRsrp,sinr0,sinr1,sinr2,sinr3,mean_AvgSinr,rsrq,rsrq1,rsrq2,rsrq3,mean_AvgRsrq,rssi,rssi0,rssi1,rssi2,rssi3,mean_AvgRssi,distance
CPE12000SG,TLR001025025,9/10/2022 15:00,177156,WLTGG-122,1000000000000.0,192.168.203.14,3733003,1.0,6.7,-92.2,-93.2,-93.2,-92.9,-92.875,25.9,24.9,24.0,25.5,25.075,-9.0,-9.1,-8.9,-8.9,-8.975,-62.0,,,,,-62.0,371.0
CPE12000SG,TLR001023930,9/10/2022 15:00,177143,WLTGG-122,1000000000000.0,192.168.203.18,11217641,2.0,6.9,-97.2,-95.5,-93.3,-98.1,-96.025,19.8,20.8,21.3,18.3,20.05,-9.8,-10.0,-9.7,-9.6,-9.775,-64.0,,,,,-64.0,488.0
CPE9000,GMK180819003927,9/10/2022 15:00,177146,WLTMS-110,1000000000000.0,192.168.203.47,1379807,2.0,9.0,-102.0,-103.0,,,-102.5,16.0,16.0,,,16.0,-9.0,,,,-9.0,,,,,,,605.0
CPE12000SG,TLR001052985,9/10/2022 15:00,177161,WLTGG-122,1000000000000.0,192.168.203.38,2779553,1.0,8.5,-107.3,-104.7,-103.4,-101.7,-104.275,17.9,18.3,20.6,22.2,19.75,-9.0,-9.1,-9.2,-9.3,-9.15,-69.0,,,,,-69.0,371.0
CPE12000SG,TLR001024707,9/10/2022 15:00,177162,WLTGG-122,1000000000000.0,192.168.203.17,5739055,1.0,8.9,-103.5,-99.9,-101.3,-106.5,-102.8,21.9,23.8,20.5,17.6,20.95,-13.4,-12.0,-13.5,-13.6,-13.125,-68.0,,,,,-68.0,371.0
CPE12000SG,TLR001023697,9/10/2022 15:00,177163,WLTGG-122,1000000000000.0,192.168.203.10,2870693,2.0,-999999.0,-98.6,-96.1,-96.2,-102.2,-98.275,20.4,23.2,20.9,16.5,20.25,-9.1,-9.3,-9.3,-9.4,-9.275,-67.0,,,,,-67.0,605.0
CPE12000SG,TLR001052820,9/10/2022 15:00,177165,WLTGG-122,1000000000000.0,192.168.203.46,2867943,2.0,-999999.0,-98.7,-93.9,-94.6,-96.2,-95.85,10.4,15.7,16.0,14.2,14.075,-11.0,-10.1,-10.0,-9.9,-10.25,-61.0,,,,,-61.0,371.0
CPE12000SG,TLR001048674,9/10/2022 15:00,177166,WLTGG-122,1000000000000.0,192.168.203.11,11223163,1.0,8.8,-104.8,-103.0,-96.7,-100.3,-101.2,12.1,15.2,21.6,19.9,17.2,-9.3,-9.0,-10.4,-9.9,-9.65,-68.0,,,,,-68.0,78.0
CPE12000SG,TLR001061822,9/10/2022 15:00,177167,WLTGG-122,1000000000000.0,192.168.203.36,598558,2.0,-2.3,-82.7,-81.1,-82.5,-84.9,-82.8,18.9,22.0,21.1,18.7,20.175,-9.2,-9.7,-9.6,-9.2,-9.425,-50.0,,,,,-50.0,605.0
CPE12000SG,TLR001052293,9/10/2022 15:00,177168,WLTGG-122,1000000000000.0,192.168.203.40,4852896,2.0,-6.1,-82.1,-79.7,-79.5,-83.0,-81.075,17.5,19.9,21.1,19.0,19.375,-12.5,-12.8,-12.8,-11.8,-12.475,-47.0,,,,,-47.0,605.0
